,cum_pnl,max_pnl,drawdown
1/25/2001,173988099.8,173988099.8,0
1/29/2001,174342241.8,174342241.8,0
2/2/2001,174032961.8,174342241.8,309280
2/5/2001,176094681.8,176094681.8,0
2/12/2001,175060781.8,176094681.8,1033900
2/26/2001,174819981.8,176094681.8,1274700
2/28/2001,174757581.8,176094681.8,1337100
3/6/2001,172779975.6,176094681.8,3314706.236
3/8/2001,172104683.6,176094681.8,3989998.236
3/12/2001,171412148.6,176094681.8,4682533.236
3/19/2001,172608722,176094681.8,3485959.806
3/26/2001,173374302.2,176094681.8,2720379.648
3/27/2001,175631086.4,176094681.8,463595.4484
3/29/2001,175316553.2,176094681.8,778128.6945
4/2/2001,175234297.9,176094681.8,860383.9835
4/3/2001,174423407.9,176094681.8,1671273.983
4/4/2001,174548007.9,176094681.8,1546673.983
4/6/2001,174499847.9,176094681.8,1594833.983
4/10/2001,173856377.9,176094681.8,2238303.983
4/11/2001,168362584.2,176094681.8,7732097.614
4/12/2001,168883984.2,176094681.8,7210697.614
4/16/2001,169437069.2,176094681.8,6657612.614
4/17/2001,168577869.2,176094681.8,7516812.614
4/18/2001,169370429.2,176094681.8,6724252.614
4/19/2001,167902495.3,176094681.8,8192186.515
5/7/2001,167016432.3,176094681.8,9078249.538
5/16/2001,167056752.3,176094681.8,9037929.538
5/18/2001,166864182.3,176094681.8,9230499.538
5/21/2001,166112292.3,176094681.8,9982389.538
5/25/2001,167362708.3,176094681.8,8731973.538
5/31/2001,166755908.3,176094681.8,9338773.538
6/12/2001,167431898.3,176094681.8,8662783.538
6/14/2001,166829916.4,176094681.8,9264765.413
6/15/2001,166621918.8,176094681.8,9472763.036
6/20/2001,166058804.4,176094681.8,10035877.44
6/28/2001,166484171.9,176094681.8,9610509.936
7/5/2001,166441399.4,176094681.8,9653282.436
7/6/2001,165762801.4,176094681.8,10331880.47
7/10/2001,166281561.4,176094681.8,9813120.472
7/11/2001,166867126.4,176094681.8,9227555.417
7/13/2001,166272826.4,176094681.8,9821855.417
7/20/2001,166723796.4,176094681.8,9370885.417
7/31/2001,166162562.3,176094681.8,9932119.59
8/1/2001,166461798.3,176094681.8,9632883.528
8/2/2001,165921232.9,176094681.8,10173448.95
8/15/2001,166267712.9,176094681.8,9826968.948
8/23/2001,167881807.9,176094681.8,8212873.948
8/27/2001,168840150.4,176094681.8,7254531.448
9/4/2001,167285067.7,176094681.8,8809614.128
9/5/2001,166542725.8,176094681.8,9551956.055
9/10/2001,165577715.8,176094681.8,10516966.06
9/17/2001,165409270.8,176094681.8,10685411.06
9/18/2001,166113695.8,176094681.8,9980986.076
9/28/2001,170242085.3,176094681.8,5852596.556
10/1/2001,169585147.8,176094681.8,6509534.055
10/2/2001,170700167.8,176094681.8,5394514.055
10/3/2001,173429457.9,176094681.8,2665223.995
10/4/2001,174247690.4,176094681.8,1846991.455
10/5/2001,173770330.4,176094681.8,2324351.455
10/10/2001,175603786.1,176094681.8,490895.7705
10/11/2001,175112898.6,176094681.8,981783.2705
